loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term_months,loan_status,loan_date
4846,1867,Personal Loan,106337,10.62,36,Active,2024-02-06
4847,16018,Business Loan,280701,7.61,12,Active,2021-09-02
4848,10855,Auto Loan,314945,17.82,24,Active,2022-11-26
4849,19478,Personal Loan,136692,18.16,12,Active,2025-09-05
4850,7146,Home Loan,456984,17.84,180,Closed,2021-04-13
4851,8569,Home Loan,175077,6.65,240,Active,2022-03-13
4852,11541,Business Loan,512663,5.73,24,Default,2022-03-01
4853,13120,Personal Loan,103285,10.64,48,Default,2024-05-30
4854,7944,Auto Loan,374385,16.21,36,Default,2023-04-10
4855,3782,Home Loan,414473,12.45,120,Active,2025-06-28
4856,6775,Auto Loan,567379,10.86,60,Closed,2024-06-10
4857,2915,Home Loan,710763,14.01,120,Default,2024-10-22
4858,19638,Education Loan,342244,15.54,120,Active,2021-03-24
4859,18798,Business Loan,38476,10.38,24,Closed,2021-10-07
4860,4397,Personal Loan,590720,6.57,180,Default,2023-07-31
4861,4600,Business Loan,386270,17.75,84,Default,2022-06-08
4862,7478,Personal Loan,505197,12.69,240,Active,2024-02-08
4863,1104,Education Loan,533312,7.66,180,Closed,2024-05-25
4864,11467,Personal Loan,324274,8.18,120,Active,2022-07-13
4865,10288,Home Loan,202015,14.46,48,Closed,2023-09-14
4866,18730,Auto Loan,126448,5.59,120,Closed,2025-06-06
4867,11962,Personal Loan,272211,15.23,48,Active,2021-09-04
4868,17108,Home Loan,325656,12.18,240,Active,2025-11-12
4869,17233,Auto Loan,690334,13.43,84,Closed,2024-12-26
4870,9695,Personal Loan,606925,15.18,60,Active,2022-11-28
4871,3060,Business Loan,596617,16.14,84,Default,2025-09-18
4872,14768,Home Loan,534986,14.25,84,Active,2023-03-16
4873,10912,Personal Loan,386544,12.41,48,Default,2023-01-11
4874,15752,Home Loan,197250,15.92,24,Active,2021-07-02
4875,5170,Personal Loan,287723,8.05,120,Active,2023-08-08
4876,7561,Education Loan,377205,14.63,120,Default,2024-03-14
4877,11898,Business Loan,77330,8.67,120,Active,2025-01-27
4878,3397,Personal Loan,796846,16.91,12,Closed,2021-08-09
4879,2477,Auto Loan,746182,17.04,24,Default,2025-03-03
4880,16098,Home Loan,693166,12.18,180,Active,2025-09-17
4881,9169,Education Loan,9747,12.26,24,Active,2024-07-19
4882,10809,Business Loan,277003,11.05,24,Active,2022-06-14
4883,6298,Personal Loan,48571,18.09,120,Closed,2025-01-29
4884,18034,Business Loan,108813,5.86,48,Active,2023-03-27
4885,11745,Business Loan,493702,10.28,84,Active,2022-08-12
4886,16955,Auto Loan,176702,8.17,48,Closed,2022-11-27
4887,10708,Personal Loan,656875,9.51,180,Active,2024-03-28
4888,13628,Personal Loan,287766,12.27,84,Active,2024-06-18
4889,3631,Education Loan,571183,14.83,180,Active,2025-05-21
4890,9895,Education Loan,417595,13.43,36,Active,2022-03-24
4891,7579,Home Loan,732929,15.76,180,Active,2021-06-12
4892,8104,Home Loan,479613,15.16,60,Active,2025-08-15
4893,2530,Home Loan,86620,8.37,180,Closed,2021-07-04
4894,16453,Education Loan,723301,8.95,84,Active,2021-07-19
4895,5706,Home Loan,791507,9.35,48,Closed,2024-03-23
4896,63,Home Loan,35662,9.8,84,Closed,2022-05-07
4897,8872,Education Loan,231290,13.06,24,Active,2024-12-26
4898,6236,Personal Loan,101680,17.67,240,Active,2022-07-23
4899,16373,Home Loan,428113,15.99,84,Active,2024-08-25
4900,18754,Education Loan,383959,13.06,48,Closed,2022-03-25
4901,14029,Personal Loan,750477,11.895,12,Closed,2024-09-14
4902,3363,Personal Loan,527005,12.06,36,Closed,2022-01-25
4903,9663,Auto Loan,412398,14.5,24,Active,2021-10-15
4904,5157,Home Loan,488316,6.11,12,Closed,2021-06-21
4905,11775,Personal Loan,409524,6.85,180,Active,2024-07-27
4906,4762,Home Loan,667527,17.51,84,Active,2022-07-18
4907,10851,Auto Loan,240882,8.14,36,Default,2023-12-10
4908,5489,Home Loan,391372,15.07,36,Closed,2024-04-25
4909,12810,Education Loan,44171,11.3,120,Closed,2024-02-14
4910,542,Personal Loan,622043,11.03,12,Closed,2023-05-12
4911,17995,Business Loan,205898,6.65,12,Active,2025-10-14
4912,11920,Home Loan,694621,13.03,240,Active,2021-09-27
4913,4214,Auto Loan,493374,11.61,12,Default,2023-11-13
4914,1576,Business Loan,280528,11.75,36,Active,2025-05-09
4915,16385,Personal Loan,387121,12.34,48,Active,2023-03-04
4916,6919,Home Loan,200014,12.25,180,Closed,2022-11-30
4917,16681,Personal Loan,565078,7.26,24,Active,2022-09-12
4918,10564,Personal Loan,462167,7.41,12,Active,2023-12-29
4919,19970,Personal Loan,593773,11.47,60,Closed,2024-12-12
4920,9489,Personal Loan,789195,14.75,84,Active,2022-05-28
4921,14824,Home Loan,313768,13.66,120,Closed,2022-04-24
4922,17801,Personal Loan,601760,10.14,120,Active,2024-01-13
4923,5771,Home Loan,771083,10.65,12,Default,2025-09-22
4924,14931,Personal Loan,393110,18.33,36,Closed,2021-06-22
4925,16463,Personal Loan,360595,10.77,240,Active,2021-08-25
4926,15791,Business Loan,389876,8.69,180,Active,2024-09-08
4927,18107,Home Loan,764400,10.51,84,Active,2023-11-23
4928,15905,Education Loan,611887,13.27,180,Active,2025-08-14
4929,2690,Personal Loan,681809,7.27,60,Active,2022-07-06
4930,4098,Auto Loan,113673,8.03,120,Closed,2021-07-02
4931,1084,Business Loan,364751,7.58,24,Closed,2025-11-19
4932,14458,Business Loan,317771,12.61,48,Closed,2021-06-19
4933,15442,Home Loan,161867,10.31,36,Active,2023-07-25
4934,19102,Business Loan,434295,16.68,120,Active,2024-10-23
4935,3797,Personal Loan,628092,8.52,60,Active,2025-11-05
4936,14915,Home Loan,101651,14.41,84,Default,2023-05-31
4937,10214,Home Loan,786551,11.99,48,Active,2023-11-02
4938,19396,Home Loan,206811,5.8,84,Default,2022-06-17
4939,1185,Home Loan,116266,9.98,24,Active,2024-12-08
4940,1250,Personal Loan,20752,7.63,240,Active,2022-09-09
4941,15149,Business Loan,544575,9.79,60,Active,2022-06-08
4942,16566,Education Loan,542251,8.51,48,Active,2025-02-12
4943,9531,Personal Loan,108221,15.33,48,Active,2021-10-04
4944,16904,Personal Loan,18439,18.25,24,Default,2023-03-12
4945,6514,Home Loan,652629,8.54,36,Closed,2021-04-03
4946,7951,Home Loan,609373,15.68,240,Active,2025-07-20
4947,6783,Auto Loan,141901,5.59,12,Active,2022-06-25
4948,1695,Personal Loan,772586,6.61,12,Active,2022-08-04
4949,4672,Home Loan,406987,10.25,84,Active,2024-11-24
4950,12293,Business Loan,451309,8.46,60,Active,2025-05-23
4951,1194,Personal Loan,437878,8.29,240,Active,2022-12-11
4952,19818,Education Loan,269701,9.54,60,Active,2023-09-10
4953,10126,Education Loan,771448,12.635,180,Active,2021-06-24
4954,5133,Personal Loan,216848,7.55,12,Closed,2025-09-19
4955,9008,Auto Loan,141447,9.38,48,Closed,2021-07-18
4956,19354,Business Loan,645475,15.68,84,Default,2024-11-29
4957,17620,Auto Loan,213639,15.98,24,Active,2025-08-21
4958,11167,Home Loan,295764,6.04,120,Active,2022-11-10
4959,14372,Personal Loan,779310,10.75,24,Closed,2021-09-04
4960,2277,Personal Loan,348709,11.24,180,Active,2022-06-08
4961,14975,Personal Loan,636032,18.17,240,Active,2025-11-24
4962,2653,Home Loan,213977,14.21,60,Active,2023-03-17
4963,9307,Personal Loan,596787,8.28,180,Active,2022-09-02
4964,3844,Personal Loan,120005,9.42,48,Active,2025-08-08
4965,715,Home Loan,71780,14.52,36,Active,2023-11-15
4966,15577,Education Loan,754577,14.21,120,Closed,2023-04-07
4967,10360,Home Loan,600013,6.37,12,Active,2021-04-24
4968,12421,Personal Loan,14675,16.22,120,Closed,2024-02-11
4969,16435,Business Loan,626175,15.48,180,Active,2024-08-15
4970,3112,Auto Loan,123803,9.32,180,Active,2025-01-08
4971,1997,Business Loan,116945,8.73,48,Active,2025-10-23
4972,8824,Auto Loan,430679,7.46,48,Closed,2024-03-25
4973,19739,Personal Loan,766261,11.29,120,Active,2025-06-11
4974,2555,Home Loan,398152,10.51,120,Active,2024-02-24
4975,6631,Education Loan,359081,5.65,120,Active,2023-12-24
4976,12497,Personal Loan,253559,16.67,24,Active,2023-11-24
4977,17375,Auto Loan,628225,9.83,48,Active,2022-06-09
4978,19834,Auto Loan,694770,7.84,240,Active,2023-04-16
4979,14603,Home Loan,377464,11.81,84,Active,2022-03-01
4980,2951,Business Loan,365996,16.19,24,Default,2023-04-14
4981,14053,Home Loan,26584,16.23,24,Active,2022-07-26
4982,5150,Education Loan,136913,9.97,240,Default,2024-04-28
4983,19679,Home Loan,762368,13.77,120,Active,2022-08-26
4984,471,Business Loan,516309,14.61,12,Closed,2025-10-16
4985,2508,Home Loan,475439,6.7,48,Active,2022-04-21
4986,12205,Personal Loan,444546,12.19,48,Closed,2022-01-24
4987,15611,Personal Loan,270766,10.56,24,Active,2025-06-19
4988,5604,Business Loan,705159,7.68,84,Active,2021-10-23
4989,15733,Personal Loan,110332,17.95,120,Closed,2025-09-06
4990,17617,Auto Loan,561886,16.6,180,Closed,2021-04-25
4991,11836,Home Loan,511351,16.58,240,Closed,2025-08-30
4992,15646,Business Loan,689578,15.07,48,Active,2021-04-04
4993,11384,Personal Loan,772813,18.15,12,Active,2024-03-20
4994,14620,Home Loan,63279,13.97,240,Active,2021-01-14
4995,13253,Home Loan,775424,6.14,84,Active,2025-04-21
4996,414,Home Loan,481433,18.4,36,Default,2025-07-23
4997,12489,Home Loan,75693,9.04,84,Closed,2025-05-16
4998,15970,Personal Loan,794234,14.65,12,Closed,2021-01-26
4999,8218,Personal Loan,653780,6.63,180,Active,2023-05-03
5000,380,Personal Loan,237770,14.57,24,Active,2025-02-16
5001,15697,Home Loan,169492,17.87,48,Closed,2024-03-21
5002,9796,Personal Loan,567738,7.92,12,Default,2021-04-20
5003,15618,Auto Loan,434710,9.95,24,Closed,2023-07-24
5004,17200,Home Loan,694873,16.41,180,Active,2022-10-23
5005,10822,Personal Loan,587600,11.68,60,Active,2024-06-12
5006,4553,Personal Loan,353316,11.1,120,Active,2022-09-10
5007,17304,Home Loan,605048,11.59,180,Active,2021-10-18
5008,17229,Auto Loan,343422,8.46,24,Active,2022-06-24
5009,15691,Education Loan,666768,14.42,36,Active,2024-07-26
5010,3688,Home Loan,385702,14.75,12,Closed,2023-07-03
5011,11170,Business Loan,185831,14.71,48,Active,2024-03-03
5012,1687,Personal Loan,231434,7.33,180,Active,2025-09-27
5013,5587,Education Loan,254712,14.18,180,Closed,2025-07-03
5014,2810,Auto Loan,274423,18.09,60,Active,2022-06-17
5015,10616,Business Loan,443755,11.82,36,Active,2022-10-12
5016,5038,Home Loan,664802,6.45,120,Active,2021-06-01
5017,4926,Business Loan,112828,11.34,120,Closed,2024-02-05
5018,8546,Business Loan,150998,9.7,36,Closed,2021-11-26
5019,15083,Home Loan,59284,12.09,84,Closed,2023-04-23
5020,6914,Home Loan,23029,12.42,36,Closed,2024-03-29
5021,5425,Personal Loan,569982,8.9,84,Active,2023-07-19
5022,18317,Business Loan,538501,13.02,180,Closed,2024-09-21
5023,11683,Personal Loan,742160,10.62,12,Active,2022-07-17
5024,1557,Home Loan,505544,17.96,180,Active,2024-03-22
5025,16968,Education Loan,780705,7.57,36,Active,2025-06-26
5026,17565,Personal Loan,550185,10.66,84,Closed,2024-08-10
5027,14153,Education Loan,329302,11.12,180,Closed,2021-01-08
5028,3779,Personal Loan,273118,5.94,180,Active,2021-02-22
5029,9067,Education Loan,132630,15.04,180,Default,2021-04-06
5030,8283,Personal Loan,713496,14.0,36,Active,2021-12-29
5031,8570,Personal Loan,762078,14.37,120,Active,2021-04-07
5032,6544,Business Loan,575122,9.12,240,Active,2023-11-21
5033,15196,Home Loan,774123,18.47,180,Closed,2023-07-30
5034,1719,Personal Loan,211957,17.36,60,Active,2021-06-09
5035,8652,Education Loan,190364,7.05,180,Closed,2025-01-30
5036,17436,Auto Loan,497318,17.96,180,Closed,2024-11-11
5037,13947,Personal Loan,775899,18.35,12,Closed,2025-09-26
5038,10300,Education Loan,787207,11.78,60,Closed,2022-01-10
5039,2036,Personal Loan,519331,12.245000000000001,24,Active,2025-05-18
5040,12661,Auto Loan,592796,16.93,240,Active,2022-01-26
5041,14581,Personal Loan,236421,15.96,12,Closed,2022-10-27
5042,10094,Home Loan,418286,12.72,120,Closed,2022-09-17
5043,14980,Home Loan,106174,16.86,24,Active,2021-07-18
5044,6755,Personal Loan,431641,11.51,240,Active,2024-11-07
5045,7591,Business Loan,518431,12.094999999999999,240,Closed,2024-03-21
5046,10821,Home Loan,577479,15.49,24,Active,2025-12-09
5047,14365,Personal Loan,527205,6.41,12,Active,2021-07-20
5048,11020,Personal Loan,395825,9.45,24,Active,2024-02-29
5049,16484,Education Loan,132457,10.19,48,Default,2022-11-07
5050,13151,Personal Loan,444416,9.86,60,Active,2025-03-09
5051,14347,Personal Loan,499543,18.12,120,Active,2023-07-03
5052,13230,Home Loan,484910,14.14,60,Closed,2025-07-08
5053,16030,Business Loan,604279,6.56,240,Active,2021-06-05
5054,17352,Education Loan,513889,10.23,240,Active,2022-01-13
5055,8375,Home Loan,701193,7.69,240,Closed,2021-03-02
5056,8297,Home Loan,82375,17.51,12,Active,2021-06-11
5057,19974,Home Loan,778123,12.41,12,Closed,2022-12-11
5058,16999,Home Loan,662095,12.95,12,Active,2022-09-25
5059,16798,Auto Loan,294460,7.3,24,Active,2025-10-02
5060,9234,Home Loan,294704,6.5,48,Active,2023-06-12
5061,1319,Business Loan,690639,8.14,240,Default,2022-12-29
5062,4430,Auto Loan,584661,13.54,84,Closed,2022-08-25
5063,7103,Personal Loan,769087,17.37,48,Active,2022-09-27
5064,8847,Home Loan,151049,8.32,60,Active,2022-03-07
5065,13618,Home Loan,531702,5.71,24,Active,2024-09-24
5066,6325,Home Loan,236541,8.71,36,Default,2025-12-18
5067,18007,Home Loan,711946,9.95,180,Active,2023-04-26
5068,14884,Home Loan,462329,6.55,84,Closed,2021-03-17
5069,5849,Personal Loan,513281,6.75,240,Closed,2023-01-28
5070,7269,Education Loan,250246,12.14,84,Active,2022-09-25
5071,15204,Home Loan,729625,13.58,240,Active,2022-12-22
5072,14013,Home Loan,106836,16.0,120,Active,2023-01-05
5073,1890,Personal Loan,158646,7.46,84,Default,2022-11-26
5074,2251,Auto Loan,785603,16.79,48,Closed,2022-04-29
5075,4444,Home Loan,489651,17.87,36,Active,2024-04-08
5076,10857,Auto Loan,526449,13.69,180,Closed,2021-02-23
5077,5663,Home Loan,234254,6.41,84,Active,2022-09-15
5078,14561,Auto Loan,318618,9.3,240,Active,2023-11-20
5079,7311,Education Loan,176474,17.45,48,Closed,2022-04-24
5080,18626,Home Loan,699574,5.73,84,Closed,2022-05-08
5081,19071,Business Loan,685934,13.69,60,Closed,2025-02-16
5082,8551,Auto Loan,179485,11.01,12,Active,2025-02-04
5083,10495,Business Loan,576283,11.82,60,Active,2024-02-19
5084,5106,Home Loan,735720,16.22,12,Closed,2023-12-13
5085,12827,Business Loan,113969,8.18,36,Active,2025-11-05
5086,16831,Personal Loan,328724,5.91,180,Active,2022-10-22
5087,9755,Home Loan,571221,17.16,240,Active,2025-04-10
5088,15034,Auto Loan,532207,10.38,12,Default,2024-09-20
5089,881,Auto Loan,779207,15.86,180,Closed,2022-12-16
5090,1000,Business Loan,780782,11.4,48,Active,2024-06-12
5091,18515,Personal Loan,694459,15.82,180,Active,2025-11-04
5092,2215,Auto Loan,621890,14.34,12,Active,2025-11-04
5093,17087,Business Loan,661128,13.24,180,Active,2025-07-28
5094,10752,Business Loan,489300,10.13,24,Active,2022-03-24
5095,4616,Education Loan,87455,9.29,48,Closed,2022-01-21
5096,13913,Business Loan,197272,6.73,84,Active,2025-07-24
5097,5186,Education Loan,123510,13.9,48,Active,2022-02-02
5098,473,Personal Loan,590459,15.84,12,Active,2025-12-13
5099,12752,Home Loan,369616,11.1,84,Active,2023-03-04
5100,8911,Business Loan,16114,6.33,60,Active,2025-12-15
5101,14279,Education Loan,531544,14.72,24,Closed,2021-11-24
5102,11616,Home Loan,726137,12.85,60,Active,2023-09-22
5103,7875,Auto Loan,717859,12.37,24,Closed,2023-08-05
5104,9089,Personal Loan,491522,18.04,120,Active,2022-03-31
5105,3883,Home Loan,32389,13.53,60,Default,2021-03-17
5106,3543,Personal Loan,270684,17.42,24,Active,2021-05-21
5107,10403,Home Loan,598191,18.3,36,Active,2024-02-19
5108,12609,Business Loan,762711,5.54,120,Active,2024-10-14
5109,7084,Business Loan,501862,7.64,84,Active,2025-07-01
5110,8400,Education Loan,307400,11.85,240,Active,2023-01-13
5111,19941,Home Loan,557017,17.14,60,Active,2024-04-02
5112,17197,Home Loan,325728,10.06,84,Default,2021-11-14
5113,549,Auto Loan,714305,17.84,180,Active,2025-10-25
5114,1601,Education Loan,506081,11.22,12,Active,2022-04-23
5115,11938,Home Loan,12073,16.4,24,Active,2022-10-14
5116,8213,Personal Loan,401100,9.65,120,Default,2024-12-14
5117,10254,Auto Loan,344077,16.89,60,Closed,2023-02-23
5118,9763,Home Loan,182627,8.49,120,Closed,2023-02-15
5119,6390,Home Loan,547170,9.99,48,Closed,2023-11-10
5120,14575,Business Loan,660573,16.24,48,Active,2023-02-25
5121,16957,Personal Loan,392307,18.23,240,Closed,2024-06-18
5122,2552,Home Loan,548089,17.2,180,Default,2025-09-12
5123,9063,Home Loan,411238,11.95,60,Closed,2022-04-29
5124,984,Home Loan,25234,9.98,12,Active,2022-11-11
5125,5146,Home Loan,222816,8.76,24,Default,2025-06-04
5126,19631,Auto Loan,742388,11.69,240,Active,2025-04-03
5127,18222,Auto Loan,531480,14.69,180,Closed,2021-10-16
5128,10599,Home Loan,650287,15.74,120,Active,2023-05-05
5129,19474,Auto Loan,782239,18.19,12,Active,2022-01-11
5130,19881,Personal Loan,147086,7.18,24,Active,2021-06-04
5131,8428,Education Loan,706827,13.92,84,Active,2022-05-07
5132,4956,Business Loan,529122,8.69,84,Closed,2021-07-02
5133,2324,Home Loan,710640,13.47,36,Default,2024-08-31
5134,615,Personal Loan,775924,7.42,180,Active,2024-01-09
5135,3314,Home Loan,733472,11.99,36,Active,2021-05-30
5136,16274,Education Loan,407474,17.21,12,Active,2025-10-27
5137,4678,Personal Loan,306351,6.43,12,Default,2021-03-16
5138,3554,Auto Loan,149021,7.72,36,Closed,2023-08-01
5139,3512,Personal Loan,14170,17.62,180,Active,2022-02-25
5140,19414,Home Loan,611972,5.78,180,Active,2024-05-29
5141,14949,Home Loan,519538,10.25,48,Active,2023-04-02
5142,16650,Auto Loan,283033,7.81,48,Active,2021-06-22
5143,5092,Business Loan,249876,13.51,240,Active,2021-02-28
5144,9090,Business Loan,428589,7.0,84,Closed,2021-12-09
5145,17232,Business Loan,302924,16.79,24,Closed,2023-06-25
5146,14164,Auto Loan,85423,14.49,180,Default,2023-10-02
5147,8923,Personal Loan,355250,8.91,12,Active,2025-08-07
5148,6958,Personal Loan,641422,5.78,180,Default,2025-12-11
5149,911,Auto Loan,338571,17.0,12,Active,2025-01-17
5150,13288,Home Loan,97193,12.17,48,Active,2025-10-06
5151,5962,Home Loan,340210,16.68,120,Closed,2023-12-24
5152,11750,Home Loan,363404,17.47,120,Active,2025-09-29
5153,7679,Personal Loan,73014,8.49,24,Default,2023-10-03
5154,4241,Home Loan,606107,13.04,60,Active,2022-11-28
5155,10215,Personal Loan,796201,14.4,48,Active,2021-11-13
5156,18446,Education Loan,685517,9.51,24,Active,2023-08-18
5157,8817,Home Loan,101190,9.14,24,Default,2023-08-02
5158,6891,Home Loan,383936,15.37,60,Active,2023-05-26
5159,4508,Home Loan,127938,11.35,240,Closed,2023-09-08
5160,5881,Home Loan,686741,17.46,36,Active,2021-06-10
5161,14408,Personal Loan,393847,8.16,84,Closed,2021-09-30
5162,15657,Auto Loan,359405,13.66,24,Active,2025-06-02
5163,8045,Personal Loan,644705,16.5,12,Active,2021-12-02
5164,7222,Auto Loan,57564,10.23,48,Active,2023-07-14
5165,7369,Home Loan,559524,11.33,120,Closed,2025-09-07
5166,8580,Personal Loan,669754,17.03,24,Closed,2023-11-26
5167,5845,Personal Loan,676332,13.21,36,Active,2022-12-28
5168,10944,Personal Loan,326510,15.19,36,Active,2025-03-04
5169,11834,Home Loan,181117,12.41,12,Closed,2025-09-04
5170,18473,Home Loan,643809,7.38,120,Active,2022-11-16
5171,4602,Home Loan,728877,13.4,84,Active,2021-08-31
5172,11817,Home Loan,610777,10.01,48,Closed,2023-10-17
5173,10199,Home Loan,477648,16.88,240,Closed,2023-01-15
5174,16579,Personal Loan,315137,7.36,36,Active,2023-11-28
5175,12043,Personal Loan,352768,6.06,120,Active,2023-09-17
5176,3971,Personal Loan,434714,15.65,84,Active,2023-03-13
5177,7242,Home Loan,57357,6.05,48,Default,2022-11-08
5178,11916,Personal Loan,492002,8.06,84,Active,2024-02-01
5179,19454,Business Loan,331137,17.24,240,Active,2021-04-29
5180,6584,Education Loan,194397,13.19,48,Closed,2021-06-20
5181,5309,Personal Loan,323503,8.36,60,Closed,2022-04-24
5182,11916,Personal Loan,528647,6.75,24,Closed,2025-12-24
5183,521,Auto Loan,524957,17.14,36,Active,2021-02-12
5184,16621,Home Loan,433294,8.36,180,Active,2025-01-27
5185,4973,Home Loan,619298,17.79,48,Active,2025-05-08
5186,3213,Auto Loan,84364,5.55,240,Active,2025-01-29
5187,7815,Auto Loan,484429,12.9,120,Closed,2025-04-29
5188,1676,Personal Loan,453491,14.0,240,Default,2021-11-10
5189,19871,Auto Loan,134464,5.88,84,Closed,2021-10-12
5190,64,Auto Loan,183077,17.41,84,Active,2022-09-27
5191,5700,Auto Loan,453183,16.81,180,Active,2022-04-26
5192,10148,Business Loan,175888,18.22,120,Active,2021-04-08
5193,3011,Personal Loan,115780,11.09,240,Active,2022-05-03
5194,10353,Home Loan,736097,6.57,84,Active,2023-08-23
5195,11839,Personal Loan,240159,5.9,12,Closed,2022-02-18
5196,10595,Auto Loan,480927,11.2,60,Default,2024-01-31
5197,3895,Personal Loan,582197,16.27,84,Active,2022-11-27
5198,559,Personal Loan,237927,12.3,60,Default,2021-10-11
5199,6612,Education Loan,459343,16.01,84,Active,2025-12-12
5200,5849,Auto Loan,76180,10.48,84,Active,2021-03-12
5201,4448,Home Loan,339170,12.0,48,Closed,2021-09-21
5202,707,Home Loan,313234,15.16,240,Closed,2021-08-14
5203,18798,Personal Loan,439974,10.88,120,Closed,2023-03-22
5204,18945,Personal Loan,350928,16.97,48,Default,2024-01-10
5205,16269,Education Loan,197702,16.33,12,Closed,2024-12-04
5206,16466,Home Loan,424677,7.58,12,Active,2025-05-08
5207,4202,Personal Loan,392393,13.66,24,Closed,2022-01-20
5208,14933,Personal Loan,230256,11.75,48,Default,2024-05-04
5209,11202,Personal Loan,433141,11.81,60,Closed,2024-09-07
5210,10566,Education Loan,462807,7.58,36,Active,2024-07-15
5211,10947,Home Loan,468292,10.93,180,Active,2025-04-01
5212,6175,Home Loan,124451,12.08,120,Active,2021-01-23
5213,16862,Personal Loan,654974,13.71,84,Active,2022-08-26
5214,13414,Personal Loan,612572,15.66,12,Default,2024-06-04
5215,1309,Business Loan,75011,12.19,84,Active,2022-07-16
5216,1063,Home Loan,211214,11.75,48,Active,2025-06-28
5217,19340,Home Loan,369223,12.39,60,Closed,2021-11-25
5218,15510,Education Loan,462384,15.15,120,Active,2023-02-05
5219,17132,Business Loan,645519,9.21,240,Active,2022-07-09
5220,5052,Business Loan,510389,5.97,84,Closed,2021-01-02
5221,16078,Home Loan,147513,14.48,60,Closed,2024-06-21
5222,988,Personal Loan,685931,12.19,12,Active,2024-11-28
5223,11451,Business Loan,226989,8.24,120,Active,2025-08-22
5224,12359,Business Loan,268376,15.92,120,Active,2023-04-05
5225,126,Home Loan,44933,17.78,240,Active,2023-09-19
5226,15366,Personal Loan,305155,9.02,84,Closed,2021-04-21
5227,18980,Auto Loan,335437,15.04,24,Closed,2025-06-15
5228,17184,Personal Loan,781786,5.55,36,Closed,2025-12-27
5229,12525,Personal Loan,541606,5.79,60,Active,2023-12-22
5230,1462,Personal Loan,457867,9.35,48,Closed,2025-10-22
5231,16418,Education Loan,670624,7.7,180,Active,2025-07-20
5232,14898,Home Loan,154919,15.25,60,Active,2024-07-03
5233,5277,Home Loan,67079,9.98,180,Active,2024-08-05
5234,7233,Auto Loan,293389,8.14,12,Closed,2023-07-07
5235,15225,Education Loan,594323,7.17,48,Default,2021-11-13
5236,11930,Business Loan,677656,10.51,180,Active,2022-04-03
5237,4246,Home Loan,199040,13.09,24,Active,2022-12-10
5238,2157,Home Loan,495154,11.57,48,Default,2023-07-12
5239,15888,Home Loan,261345,14.24,60,Closed,2023-11-27
5240,3018,Home Loan,628437,13.91,120,Active,2023-12-23
5241,17041,Personal Loan,584528,6.92,84,Active,2022-06-05
5242,10733,Home Loan,630815,7.79,12,Closed,2021-07-04
5243,17736,Home Loan,111819,9.15,240,Active,2025-06-12
5244,4210,Home Loan,604200,9.26,84,Active,2023-10-16
5245,852,Home Loan,93487,9.75,24,Active,2025-05-04
5246,13809,Education Loan,364314,18.01,48,Active,2023-07-27
5247,14273,Education Loan,542735,13.8,180,Default,2024-07-11
5248,15285,Personal Loan,162573,16.46,84,Active,2023-02-28
5249,9598,Personal Loan,84101,12.43,84,Active,2024-03-18
5250,4971,Home Loan,27928,17.4,240,Active,2022-04-04
5251,18457,Home Loan,368841,7.97,120,Active,2022-10-17
5252,1612,Business Loan,494287,10.32,240,Default,2021-03-25
5253,19778,Personal Loan,460519,7.71,12,Default,2022-11-15
5254,12814,Personal Loan,316137,13.27,24,Default,2021-09-17
5255,5426,Personal Loan,25812,6.23,180,Active,2025-11-22
5256,14361,Education Loan,697694,11.31,12,Active,2021-04-17
5257,17519,Auto Loan,65428,9.46,36,Closed,2021-12-22
5258,12824,Business Loan,269407,16.7,120,Closed,2022-04-17
5259,7939,Home Loan,478545,9.08,60,Active,2022-05-08
5260,18221,Business Loan,665508,15.96,120,Active,2025-10-26
5261,5416,Personal Loan,720611,6.79,60,Active,2022-09-28
5262,7722,Business Loan,149803,14.22,240,Active,2022-05-06
5263,11710,Education Loan,250438,8.12,48,Active,2022-05-23
5264,414,Business Loan,496183,17.44,12,Active,2023-05-08
5265,16777,Home Loan,464247,11.68,48,Closed,2022-08-24
5266,16616,Personal Loan,435769,8.33,12,Closed,2025-04-07
5267,1943,Business Loan,174161,7.41,12,Closed,2023-12-23
5268,10486,Home Loan,629932,10.49,120,Active,2022-08-22
5269,3699,Education Loan,158130,11.27,180,Active,2021-06-27
5270,15080,Business Loan,277978,17.56,48,Active,2021-10-02
5271,17571,Personal Loan,529169,13.8,84,Default,2025-09-12
5272,7086,Personal Loan,251447,18.28,48,Closed,2024-12-04
5273,17270,Education Loan,625718,7.66,24,Closed,2025-10-15
5274,8802,Personal Loan,549163,13.44,60,Default,2021-02-18
5275,8290,Personal Loan,707185,12.07,24,Active,2021-07-07
5276,9875,Home Loan,251868,16.35,36,Closed,2025-10-21
5277,1789,Personal Loan,298812,6.92,60,Active,2022-06-16
5278,5745,Personal Loan,704591,12.41,12,Active,2024-05-16
5279,5347,Personal Loan,699089,7.38,84,Active,2024-12-12
5280,10672,Business Loan,750348,7.28,180,Active,2025-11-29
5281,13169,Education Loan,211362,17.94,120,Active,2023-11-24
5282,7068,Home Loan,537655,7.95,12,Active,2021-06-03
5283,1764,Personal Loan,448361,8.59,24,Active,2024-07-08
5284,18278,Business Loan,92904,14.92,60,Default,2022-05-19
5285,12283,Personal Loan,191181,7.54,84,Active,2022-05-01
